"name";"mark";"id"
"abandoned warehouse";"v";"abandonedwarehouse"
"abandoned warehouse";"v";"abandonedwarehouse_1"
"abandoned warehouse";"v";"abandonedwarehouse_2"
"abandoned warehouse";"v";"abandonedwarehouse_3"
"abandoned warehouse";"v";"abandonedwarehouse_4"
"abandoned warehouse roof";"v";"abandonedwarehouse_1_roof"
"abandoned warehouse roof";"v";"abandonedwarehouse_2_roof"
"abandoned warehouse roof";"v";"abandonedwarehouse_3_roof"
"abandoned warehouse roof";"v";"abandonedwarehouse_4_roof"
"abandoned warehouse roof";"v";"abandonedwarehouse_roof"
"animal pound";"v";"animalpound"
"animal pound roof";"v";"animalpound_roof"
"animal shelter";"v";"animalshelter"
"animal shelter roof";"v";"animalshelter_roof"
"ant food storage";"v";"acid_ants_food"
"ant food storage";"v";"ants_food"
"ant fungus colony";"v";"acid_ants_fungus_colony"
"ant fungus colony";"v";"ants_fungus_colony"
"ant larva chamber";"v";"acid_ants_larvae"
"ant larva chamber";"v";"ants_larvae"
"ant queen chamber";"v";"acid_ants_queen"
"ant queen chamber";"v";"ants_queen"
"ant tunnel";"v";"acid_ants"
"ant tunnel";"v";"ants"
"anthill";"v";"anthill"
"antique store";"v";"s_antique"
"antique store roof";"v";"s_antique_roof"
"apple orchard";"v";"orchard_tree_apple"
"arcade";"v";"s_arcade"
"arcade roof";"v";"s_arcade_roof"
"art gallery";"v";"art_gallery"
"art gallery roof";"v";"art_gallery_roof"
"bakery";"v";"bakery"
"bakery roof";"v";"bakery_roof"
"bakery roof";"v";"bakery_upper_roof"
"bar";"v";"bar"
"bar";"v";"bar_1"
"bar roof";"v";"bar_roof"
"bar roof";"v";"bar_roof_1"
"barber shop";"v";"barber_shop"
"barber shop roof";"v";"barber_shop_roof"
"bowling alley";"v";"bowling_alley"
"bowling alley roof";"v";"bowling_alley_roof"
"boxing gym";"v";"gym"
"boxing gym roof";"v";"gym_roof"
"boxing gym roof";"v";"gym_upper_roof"
"bridge";"v";"bridge"
"bridge (overpass)";"v";"bridge_road"
"bridgehead (ground)";"v";"bridgehead_ground"
"bridgehead (ramp)";"v";"bridgehead_ramp"
"bus station";"v";"bus_stat_0"
"bus station";"v";"bus_stat_1"
"bus station roof";"v";"bus_stat_0_roof"
"bus station roof";"v";"bus_stat_1_roof"
"cabin basement";"v";"cabin_strange_b"
"campground";"v";"campground_1a"
"campground";"v";"campground_1b"
"campground";"v";"campground_2a"
"campground";"v";"campground_2b"
"campground roof";"v";"campground_roof"
"campsite";"v";"campsite"
"campsite";"v";"campsite_a"
"candy shop";"v";"candy_shop"
"candy shop";"v";"candy_shop_1"
"candy shop roof";"v";"candy_shop_roof"
"candy shop roof";"v";"candy_shop_roof_1"
"car corner";"v";"car_corner_aban1"
"car showroom";"v";"cs_car_showroom"
"car showroom 2nd floor";"v";"cs_car_showroom_2ndfloor"
"car showroom roof";"v";"cs_car_showroom_roof"
"carriage house";"v";"farm_horse_carriage_house_1"
"carriage house";"v";"horse_farm_isherwood_4"
"carriage house roof";"v";"farm_horse_carriage_house_1_roof"
"carriage house roof";"v";"horse_farm_isherwood_4_roof"
"cave";"v";"cave"
"cave";"v";"cave_underground"
"cavern";"v";"spider_pit_under"
"cemetery";"v";"Cemetery_1a"
"cemetery";"v";"Cemetery_1a_roof"
"cemetery";"v";"Cemetery_1b"
"cemetery";"v";"cemetery_4square_00"
"cemetery";"v";"cemetery_4square_01"
"cemetery";"v";"cemetery_4square_10"
"cemetery";"v";"cemetery_4square_11"
"cemetery";"v";"cemetery_4square_11_roof"
"chicken coop roof";"v";"farm_1_coop_roof"
"chicken coop roof";"v";"horse_farm_isherwood_10_roof"
"church";"v";"church"
"church";"v";"church_1"
"church roof";"v";"church_2ndfloor_1"
"church roof";"v";"church_3rdfloor_1"
"church roof";"v";"church_roof"
"church roof";"v";"church_roof_1"
"church steeple";"v";"church_steeple"
"church steeple";"v";"church_steeple_end"
"church steeple";"v";"church_steeple_roof"
"coffee shop";"v";"s_restaurant_coffee"
"coffee shop";"v";"s_restaurant_coffee_1"
"coffee shop";"v";"s_restaurant_coffee_2"
"coffee shop";"v";"s_restaurant_coffee_roof"
"coffee shop";"v";"s_restaurant_coffee_roof_1"
"coffee shop";"v";"s_restaurant_coffee_roof_2"
"community garden";"v";"communitygarden"
"community garden";"v";"communitygarden_2"
"community garden";"v";"communitygarden_3"
"construction site";"v";"construction_site"
"construction site";"v";"house_vacant"
"construction site";"v";"house_vacant1"
"construction site";"v";"house_vacant2"
"construction site";"v";"house_vacant3"
"cosmetics store";"v";"s_cosmetic"
"cosmetics store roof";"v";"s_cosmetic_roof"
"craft shop upper roof";"v";"craft_shop_upper_roof"
"crater";"v";"crater"
"crater";"v";"crater_core_large"
"crater";"v";"crater_core_small"
"dairy farm";"v";"dairy_farm_NE"
"dairy farm";"v";"dairy_farm_NW"
"dairy farm";"v";"dairy_farm_SE"
"dairy farm";"v";"dairy_farm_SW"
"dairy farm";"v";"dairy_farm_isherwood_E"
"dairy farm";"v";"dairy_farm_isherwood_NE"
"dairy farm";"v";"dairy_farm_isherwood_NW"
"dairy farm";"v";"dairy_farm_isherwood_SE"
